TDS Lithium-Ion Battery Gujarat (Hansalpur),TDSG (Suzuki-Toshiba-Denso),India
Munoth Lithium Cell Plant (Tirupati),Munoth Industries,India
Waaree Lithium-Ion Gigafactory (Rambili),Waaree Energies,India
Waaree ESS Cell Plant (Rola),Waaree ESS,India
ChemVolt Lithium-Ion Cell Gigafactory (Andhra Pradesh),ChemVolt Global,India
Naxion Sodium-Ion Cell Plant (Coimbatore),Naxion Energy,India
Macsen Sodium-Ion Cell Pilot Line (Udaipur),Macsen Labs,India
Trentar Sodium-Ion Cell Plant,Trentar Energy (KPIT tech),India
e-TRNL Cell Pilot Line (Bengaluru),e-TRNL Energy,India
